City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,Margate,51.3813,1.3862,18.5,82,100,2.24,GB,1663081594
183,Siavonga,-16.5382,28.7088,31.47,30,1,1.24,ZM,1663081594
184,Rincon,32.296,-81.2354,28.28,70,75,0,US,1663081594
185,Broome,42.2506,-75.833,18.98,85,100,2.06,US,1663081595
186,Murdochville,48.9583,-65.5006,21.37,67,48,2.23,CA,1663081595
187,Kachug,53.9606,105.8817,5.58,70,100,1.8,RU,1663081596
188,Honiara,-9.4333,159.95,24.78,88,85,2.68,SB,1663081596
189,San Quintín,30.4833,-115.95,21.9,89,67,1.54,MX,1663081298
190,Severnyy,50.677,36.5532,11.02,82,100,1,RU,1663081597
191,Semnan,35.5729,53.3971,27.89,17,0,2.58,IR,1663081598
192,Alyangula,-13.8483,136.4192,24.13,82,0,2.4,AU,1663081598
193,Mount Isa,-20.7333,139.5,15.87,51,0,1.54,AU,1663081598
194,Atar,20.5169,-13.0499,40.07,22,12,3.21,MR,1663081599
195,Slonim,53.0867,25.3219,12.95,79,100,1.14,BY,1663081599
196,Padang,-0.9492,100.3543,25.03,88,100,2.65,ID,1663081600
197,Praia,14.9215,-23.5087,27.3,89,75,6.17,CV,1663081435
198,Waipawa,-41.4122,175.5153,7.02,81,13,6.61,NZ,1663081600
199,Angoram,-4.0625,144.0661,23.09,97,60,1.26,PG,1663081601
200,Muhos,64.808,25.9931,14.38,63,100,3.48,FI,1663081601
201,San Jose,37.3394,-121.895,17.54,81,20,2.57,US,1663081499
202,Madang,-5.2246,145.7966,25.05,87,90,1.93,PG,1663081602
203,Naples,40.8333,14.25,28.41,47,20,5.14,IT,1663081413
204,Mandera,3.9366,41.867,33.75,30,64,7.41,KE,1663081602
205,Deputatsky,69.3,139.9,0.6,68,100,1.61,RU,1663081602
206,Shirak,40.8404,43.9158,26.18,12,20,7.72,AM,1663081603
207,Sitka,57.0531,-135.33,10.53,88,36,1.56,US,1663081603
208,Den Helder,52.9599,4.7593,21.12,66,100,3.58,NL,1663081358
209,Bilibino,68.0546,166.4372,2.84,98,100,1.23,RU,1663081604
210,Lubango,-14.9172,13.4925,25.96,27,77,5.29,AO,1663081604
211,Caraúbas,-5.7925,-37.5567,34.06,28,8,3.83,BR,1663081604
212,Morondava,-20.2833,44.2833,24.2,71,0,8.13,MG,1663081605
213,Ayan,56.45,138.1667,10.43,76,100,5.16,RU,1663081605
214,Bānsdīh,25.8833,84.2167,27.35,81,75,5.48,IN,1663081606
215,Mahébourg,-20.4081,57.7,21.25,83,40,3.09,MU,1663081606
216,Nesbyen,60.5681,9.1027,12.98,87,100,1.76,NO,1663081607
217,Bubaque,11.2833,-15.8333,27.07,80,100,5.86,GW,1663081607
218,Vila Franca do Campo,37.7167,-25.4333,24.23,69,60,3.29,PT,1663081607
219,Mikumi,-7.4041,36.9831,29.19,32,96,3.44,TZ,1663081608
220,São Filipe,14.8961,-24.4956,26.47,82,99,3.45,CV,1663081608
221,Kloulklubed,7.0419,134.2556,26.28,71,88,4.69,PW,1663081609
222,Faya,18.3851,42.4509,24.29,48,89,4.27,SA,1663081609
223,Nichinan,31.6,131.3667,26.19,92,79,5.53,JP,1663081382
224,Dikson,73.5069,80.5464,3.57,73,100,5.95,RU,1663081610
225,Shuangyang,43.5242,125.6736,11.37,84,0,2.38,CN,1663081610
226,Buala,-8.145,159.5921,26.47,81,82,2.81,SB,1663081610
227,Klaksvík,62.2266,-6.589,11.51,85,100,3.77,FO,1663081611
228,Bethel,41.3712,-73.414,23.76,87,75,0.45,US,1663081611
229,Airai,-8.9266,125.4092,14.44,81,11,1.47,TL,1663081612
230,Yershov,51.3513,48.2766,11.73,84,100,1.8,RU,1663081612
231,Meulaboh,4.1363,96.1285,24.65,88,88,1.27,ID,1663081613
232,Saurimo,-9.6608,20.3916,35.33,14,48,0.24,AO,1663081614
233,Flinders,-34.5833,150.8552,8.54,82,25,1.34,AU,1663081614
234,Umm Hājar,13.2954,19.6966,33.13,42,95,2.31,TD,1663081614
235,Lagoa,39.05,-27.9833,22.89,88,100,3.23,PT,1663081614
236,Mount Gambier,-37.8333,140.7667,7.17,70,5,4.58,AU,1663081615
237,Khandyga,62.6667,135.6,7.15,66,100,3.23,RU,1663081615
238,Melioratorov,57.2107,65.6077,11.21,76,0,2,RU,1663081616
239,Fort Nelson,58.8053,-122.7002,7.23,66,32,0.49,CA,1663081617
240,Zhigansk,66.7697,123.3711,3.87,97,100,5.17,RU,1663081617
241,Tautira,-17.7333,-149.15,25.41,70,100,9.02,PF,1663081617
242,Tignère,7.3667,12.65,21.06,81,100,1.92,CM,1663081618
243,Erzin,36.9559,36.2,25.92,72,66,4.7,TR,1663081618
244,Hambantota,6.1241,81.1185,27.19,89,20,5.14,LK,1663081394
245,Vestmannaeyjar,63.4427,-20.2734,11.55,82,20,6.17,IS,1663081618
246,Pompéu,-19.2244,-44.9353,31.91,21,29,3.97,BR,1663081619
247,Tazovsky,67.4667,78.7,2.64,78,97,4.14,RU,1663081619
248,Haines Junction,60.7522,-137.5108,7.71,92,100,1.9,CA,1663081620
249,Toora-Khem,52.4675,96.11,4.69,70,78,1.08,RU,1663081620
250,Najrān,17.4924,44.1277,33.26,12,27,5.86,SA,1663081620
251,Zalalövő,46.848,16.5875,23.43,44,95,2.03,HU,1663081620
252,Qaqortoq,60.7167,-46.0333,8.1,79,11,3.64,GL,1663081621
253,Sebring,27.4956,-81.4409,29.97,79,0,0,US,1663081500
254,Saint-Joseph,-21.3667,55.6167,21.21,71,68,1.62,RE,1663081621
255,Beringovskiy,63.05,179.3167,7.1,83,100,5.14,RU,1663081622
256,Richards Bay,-28.783,32.0377,18.43,79,97,2.55,ZA,1663081622
257,Malabo,3.75,8.7833,26.47,78,62,3.43,GQ,1663081623
258,Port Macquarie,-31.4333,152.9167,11.61,83,33,3,AU,1663081623
259,Cherskiy,68.75,161.3,2.32,99,100,1.85,RU,1663081624
260,Jérémie,18.65,-74.1167,29.41,66,3,0.42,HT,1663081625
261,Mahon,39.8885,4.2658,29.31,70,0,4.12,ES,1663081625
262,Roald,62.5833,6.1333,15.08,72,75,4.12,NO,1663081626
263,Kokopo,-4.352,152.2633,24.39,81,27,3.38,PG,1663081626
264,Half Moon Bay,37.4636,-122.4286,16.95,87,100,7.72,US,1663081626
265,Tezu,27.9167,96.1667,24.13,98,41,1.28,IN,1663081627
266,Port Hardy,50.6996,-127.4199,11.74,92,35,1.34,CA,1663081627
267,Rio Grande,-32.035,-52.0986,18.06,85,99,5.64,BR,1663081627
268,Pangnirtung,66.1451,-65.7125,5.8,96,100,0.91,CA,1663081628
269,Mar del Plata,-38.0023,-57.5575,18.01,88,0,2.57,AR,1663081628
270,Cedar City,37.6775,-113.0619,13,100,100,1.54,US,1663081629
271,Seybaplaya,19.65,-90.6667,24.7,86,100,1.79,MX,1663081629
272,Bambous Virieux,-20.3428,57.7575,21.23,83,40,3.09,MU,1663081629
273,Lorengau,-2.0226,147.2712,27.31,69,31,4.52,PG,1663081630
274,Port Hope,43.9408,-82.7127,19.04,63,2,2.57,US,1663081630
275,Umm Kaddadah,13.6017,26.6876,33.87,32,100,2.58,SD,1663081631
276,Okrika,4.7416,7.0849,26.33,81,99,3.11,NG,1663081631
277,Nabire,-3.3667,135.4833,23.37,92,88,1.06,ID,1663081632
278,Astoria,46.1879,-123.8313,15.33,94,100,0.45,US,1663081632
279,Tomatlán,19.9333,-105.25,24.48,88,98,0.76,MX,1663081633
280,Simbahan,6.3032,120.5836,28.8,70,47,2.64,PH,1663081633
281,Erenhot,43.6475,111.9767,24.48,26,4,5.79,CN,1663081634
282,Bandarbeyla,9.4942,50.8122,25.57,85,100,13.98,SO,1663081634
283,Klyuchi,52.2667,79.1667,7.27,69,12,2.74,RU,1663081634
284,Pacific Grove,36.6177,-121.9166,16.06,88,0,2.57,US,1663081635
285,Yabēlo,4.8833,38.0833,20.57,52,100,2.14,ET,1663081635
286,Cayenne,4.9333,-52.3333,32.02,62,40,5.14,GF,1663081553
287,Óbidos,-1.9175,-55.5181,35.86,34,10,1.83,BR,1663081636
288,Asekeyevo,53.5742,52.7972,13.72,47,78,3.3,RU,1663081636
289,Divnoye,45.9089,43.3547,21.97,55,100,1.12,RU,1663081636
290,Kingsport,36.5484,-82.5618,21.8,71,20,3.09,US,1663081637
291,Gerāsh,27.6652,54.1371,33.57,20,16,4.72,IR,1663081638
292,Show Low,34.2542,-110.0298,19.49,79,0,4.63,US,1663081639
293,Kuandian,40.7286,124.7847,17.94,88,71,1.74,CN,1663081639
294,Ponta do Sol,32.6667,-17.1,28.17,72,82,4.86,PT,1663081639
295,Hofn,64.2539,-15.2082,10.58,76,75,2.14,IS,1663081640
296,Bonfim,3.0833,-59.95,30.03,63,7,1.08,BR,1663081640
297,Ruteng,-8.6136,120.4721,16.83,94,55,1.56,ID,1663081640
298,Dongsheng,39.8161,109.9776,18.19,51,1,6.44,CN,1663081641
299,Poum,-20.2333,164.0167,23.39,70,100,5.03,NC,1663081641
300,Havre-St-Pierre,50.2334,-63.5986,17.27,84,98,3.18,CA,1663081641
301,Quatre Cocos,-20.2078,57.7625,21.16,73,52,3.68,MU,1663081641
302,Kuching,1.55,110.3333,24.12,94,40,2.24,MY,1663080916
303,Los Llanos de Aridane,28.6585,-17.9182,23.86,77,20,2.68,ES,1663081642
304,Codrington,-38.2667,141.9667,3.89,88,0,4.88,AU,1663081643
305,Alofi,-19.0595,-169.9187,24.73,79,5,8.43,NU,1663081643
306,Kamenka,51.3223,42.7678,11.2,84,100,8.63,RU,1663081643
307,Adrar,20.5022,-10.0711,39.95,15,36,2.18,MR,1663081643
308,Bom Jesus,-9.0744,-44.3586,37.67,17,3,2.49,BR,1663081644
309,Pemberton,50.3164,-122.8027,15.82,94,9,0.2,CA,1663081644
310,Souillac,-20.5167,57.5167,21.21,83,40,3.09,MU,1663081645
311,Daman,20.4167,72.85,26.47,88,100,4.54,IN,1663081646
312,Vardø,70.3705,31.1107,8.99,87,100,2.06,NO,1663081646
313,Bozoum,6.3193,16.3799,25.54,82,98,0.58,CF,1663081646
314,Kutná Hora,49.9484,15.2682,22.02,58,0,3.58,CZ,1663081647
315,Fortuna,40.5982,-124.1573,10.55,85,15,1.06,US,1663081647
316,Saint-Leu,-21.15,55.2833,21.48,67,75,0.87,RE,1663081538
317,Örnsköldsvik,63.2909,18.7153,13.53,94,100,7.2,SE,1663081648
318,Evensk,61.95,159.2333,5.62,69,98,3.77,RU,1663081648
319,Yulara,-25.2406,130.9889,23.06,33,7,4.62,AU,1663081648
320,Petropavlovsk-Kamchatskiy,53.0452,158.6483,11.33,87,75,1,RU,1663081631
321,Port Hedland,-20.3167,118.5667,22.03,83,0,5.66,AU,1663081290
322,Arrondissement de Beauvais,49.4167,2,25.09,66,0,6.69,FR,1663081649
323,Lompoc,34.6391,-120.4579,17.08,91,100,2.06,US,1663081649
324,Iquitos,-3.7481,-73.2472,31.02,70,0,3.6,PE,1663081649
325,Fenoarivo Atsinanana,-17.3667,49.4167,21.07,84,51,1.82,MG,1663081650
326,East London,-33.0153,27.9116,17.68,63,0,4.58,ZA,1663081650
327,Aklavik,68.2191,-135.0107,3.16,90,96,2.98,CA,1663081650
328,The Valley,18.217,-63.0578,31.92,70,40,5.66,AI,1663081478
329,Sterling,39.0062,-77.4286,23.58,70,75,6.17,US,1663081501
330,Okhotsk,59.3833,143.3,7.34,64,24,0.96,RU,1663081651
331,Severo-Kuril'sk,50.6789,156.125,12.11,86,94,1.59,RU,1663081652
332,Esperance,-33.8667,121.9,10.91,70,91,13.81,AU,1663081652
333,Beloha,-25.1667,45.05,20.18,74,37,6.01,MG,1663081653
334,Pavlovskiy,57.8424,54.8436,8.49,68,44,0.59,RU,1663081653
335,Mingyue,43.1069,128.9217,15.54,80,100,0.59,CN,1663081653
336,Suárez,2.954,-76.6964,26.12,65,98,0.85,CO,1663081653
337,Utena,55.5,25.6,12.36,86,100,1.72,LT,1663081655
338,Nador,35.174,-2.9287,26.14,65,0,4.12,MA,1663081655
339,Monrovia,6.3005,-10.7969,29.87,74,99,4.69,LR,1663081655
340,Arrondissement de Millau,44.0833,2.9167,28.07,83,99,4.8,FR,1663081656
341,Baculin,7.4525,126.5842,26.16,85,23,3.69,PH,1663081656
342,Shenjiamen,29.9576,122.298,26.12,88,80,7.69,CN,1663081656
